year,region,temp_k,temp_f,temp_c
2011,antarctic,248.21499447556215,-12.883009943988085,-24.935005524437827
2012,arctic,263.9024246869094,15.35436443643696,-9.247575313090579
2012,antarctic,247.53720751708033,-14.103026469255362,-25.612792482919644
2013,arctic,262.80241273532374,13.374342923582777,-10.347587264676235
2013,antarctic,247.89143721625962,-13.465413010732647,-25.25856278374036
2014,arctic,263.3750704450449,14.405126801080883,-9.774929554955065
2014,antarctic,247.5319374012145,-14.112512677813875,-25.618062598785485
2015,arctic,263.1957413641035,14.082334455386388,-9.954258635896451
2015,antarctic,247.24392154405206,-14.630941220706255,-25.90607845594792
2016,arctic,264.7501468984094,16.88026441713698,-8.399853101590566
2016,antarctic,248.02404004612512,-13.226727916974738,-25.125959953874855
2017,arctic,263.8724024112966,15.30032434033393,-9.277597588703372
2017,antarctic,247.98475116011676,-13.297447911789796,-25.16524883988322
2018,arctic,263.73996323543906,15.061933823790355,-9.410036764560914
2018,antarctic,248.37037049171502,-12.603333114912921,-24.779629508284955
2019,arctic,263.85301741775515,15.265431351959318,-9.296982582244823
2019,antarctic,248.4184433635858,-12.51680194554553,-24.731556636414183
2020,arctic,264.2541284321587,15.987431177885743,-8.895871567841255
2020,antarctic,248.4467170154689,-12.465909372155956,-24.703282984531086
2021,arctic,263.2033173272539,14.09597118905706,-9.946682672746078
2021,antarctic,247.82630867475334,-13.582644385443956,-25.323691325246642
2022,arctic,263.7076228648235,15.003721156682378,-9.442377135176457
2022,antarctic,248.42656405049303,-12.502184709112512,-24.72343594950695
2023,arctic,263.7110794372826,15.009942987108708,-9.438920562717385
2023,antarctic,248.34453049587714,-12.649845107421115,-24.80546950412284
